datetime,power(kWh),speed(m/s),pascal(hPa)
2018-01-01,10288.0,2.4,1025
2018-01-02,4556.0,2.3,1026
2018-01-03,28768.0,3.2,1026.4
2018-01-04,20452.0,2.9,1022.3
2018-01-05,23372.0,3.1,1017.9
2018-01-06,22796.0,3,1020.2
2018-01-07,2976.0,2.2,1016.8
2018-01-08,15480.0,3.4,1009
2018-01-09,29376.0,4.7,1014.6
2018-01-10,32860.0,5.6,1017.8
2018-01-11,20684.0,2.9,1024.3
2018-01-12,14196.0,2.4,1028.5
2018-01-13,2100.0,1.8,1030.2
2018-01-14,412.0,1.8,1026.6
2018-01-15,4068.0,1.9,1022
2018-01-16,10060.0,2.6,1013.6
2018-01-17,19412.0,3.2,1014.8
2018-01-18,15188.0,3.3,1020.2
2018-01-19,24716.0,3.7,1019.9
2018-01-20,21020.0,3.4,1019.8
2018-01-21,9040.0,3.1,1018.8
2018-01-22,4820.0,2.7,1014.1
2018-01-23,18368.0,2.6,1020.1
2018-01-24,20572.0,2.8,1024
2018-01-25,36816.0,3.8,1024.6
2018-01-26,43584.0,4.4,1024.3
2018-01-27,16800.0,2.8,1023.4
2018-01-28,29388.0,3.7,1018.6
2018-01-29,25780.0,3.6,1020.7
2018-01-30,7848.0,2.3,1024.1
2018-01-31,8000.0,1.8,1024.6
2018-02-01,12888.0,2.5,1024.6
2018-02-02,27560.0,3.5,1024.8
2018-02-03,34612.0,3.5,1025.2
2018-02-04,33868.0,3.1,1025.6
2018-02-05,17076.0,2.6,1024
2018-02-06,14652.0,2.4,1023
2018-02-07,4996.0,2.1,1023
2018-02-08,1472.0,2.2,1020.5
2018-02-09,7664.0,2.7,1020.1
2018-02-10,24796.0,2.9,1018.9
2018-02-11,28404.0,4.3,1022
2018-02-12,32488.0,4.6,1022.5
2018-02-13,15376.0,3.5,1022.8
2018-02-14,29464.0,4.6,1017.4
2018-02-15,27288.0,2.9,1016.3
2018-02-16,19628.0,3.3,1015.3
2018-02-17,34928.0,3.7,1021.1
2018-02-18,6368.0,1.9,1021.4
2018-02-19,3292.0,2,1019.1
2018-02-20,10048.0,2.9,1018.8
2018-02-21,33772.0,3.7,1019.6
2018-02-22,14412.0,3.7,1020.9
2018-02-23,5544.0,2.8,1022.3
2018-02-24,4032.0,2.3,1024.1
2018-02-25,7300.0,2.6,1020.7
2018-02-26,9112.0,2.8,1021.6
2018-02-27,5248.0,2.7,1020.7
2018-02-28,20584.0,8.3,1002.6
2018-03-01,27380.0,6.5,1011.3
2018-03-02,14576.0,2.4,1015.4
2018-03-03,3064.0,2.2,1012.3
2018-03-04,15840.0,2.4,1009.5
2018-03-05,16984.0,4.3,1010.9
2018-03-06,17556.0,5.2,1025.2
2018-03-07,12752.0,5.2,1021.1
2018-03-08,43532.0,5.4,1013.9
2018-03-09,27080.0,3.2,1020.9
2018-03-10,7584.0,2.8,1022.3
2018-03-11,7324.0,2.5,1023.3
2018-03-12,8388.0,2.8,1020.9
